ep,organ,a_score,optimal_Np,oracle_dice,fob_10_dice,dice_0,dice_1,dice_2,dice_4,dice_6,dice_8,dice_10,dice_12,dice_16,dice_20,dice_24
0,gallbladder,0.7096401764088143,1,0.009232426332931552,0.009283375022563758,0.008817262240074456,0.009232426332931552,0.009232426332931552,0.009286009079653322,0.009279067969172874,0.009279067969172874,0.009283375022563758,0.009283375022563758,0.009283375022563758,0.009283375022563758,0.009283375022563758
1,stomach,0.7497629977480396,8,0.07624985013787315,0.07370210135970334,0.0,0.0,0.0,0.0,0.07276234567901235,0.07624985013787315,0.07370210135970334,0.07370210135970334,0.07370210135970334,0.07370210135970334,0.07370210135970334
2,aorta,0.8278513422203058,6,0.008773791834713083,0.003877691158056307,0.006241519674355495,0.0062422254890874135,0.0062422254890874135,0.008371754428536764,0.008773791834713083,0.006712734452122409,0.003877691158056307,0.003877691158056307,0.003877691158056307,0.003877691158056307,0.003877691158056307
3,ivc,0.5865947425365448,4,0.08315381301163291,0.08202294942626434,0.0823906083244397,0.0825668449197861,0.0825491873396065,0.08315381301163291,0.0828813191581688,0.08191420564776891,0.08202294942626434,0.08202294942626434,0.08202294942626434,0.0,0.0
4,gallbladder,0.7543574175527166,6,0.0244272602442726,0.016176118688681504,0.01330446762448337,0.01327259875912982,0.0213101317697497,0.021955180253329,0.0244272602442726,0.015397931757095348,0.016176118688681504,0.016176118688681504,0.01483562305227582,0.01483562305227582,0.01483562305227582
5,stomach,0.47333429642021657,2,0.4760614272809395,0.08188451932024095,0.47053490480507704,0.4684521107580572,0.4760614272809395,0.38786565547128926,0.08322028463606541,0.06973530925740294,0.08188451932024095,0.08188451932024095,0.08188451932024095,0.08188451932024095,0.07238600073863266
6,aorta,0.820287777639809,0,0.03349828701941378,0.0,0.03349828701941378,0.008505587973494214,0.008790310216180304,0.009895645915797049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ivc,0.7096233464037277,6,0.02712222613596337,0.027134970045812286,0.01797945205479452,0.018100611189468735,0.019646198333049838,0.02549246813441483,0.02712222613596337,0.027014384282540053,0.027134970045812286,0.027134970045812286,0.025013535462912833,0.025013535462912833,0.025013535462912833
8,gallbladder,0.7247043039711549,0,0.010105888909530002,0.010128467696890709,0.010105888909530002,0.008795188514518527,0.010177736202057999,0.010111524163568773,0.010120553653817532,0.010159109583924703,0.010128467696890709,0.010128467696890709,0.010128467696890709,0.010128467696890709,0.010128467696890709
9,stomach,0.7826723037062575,8,0.025586773606258918,0.025272161741835147,0.010697167307810989,0.011977703045100659,0.017976906589227685,0.018964259664478483,0.02204697702026626,0.025586773606258918,0.025272161741835147,0.025272161741835147,0.025272161741835147,0.0214787277984304,0.0214787277984304
