Fold,Organ,Baseline_Dice,AdaFoB_Dice,Gain
0,aorta,0.11703720139864318,0.12551251786488968,0.008475316466246496
0,gallbladder,0.025037514263321296,0.024680699354885066,-0.00035681490843622946
1,aorta,0.06899415756493205,0.12960124173157925,0.0606070841666472
1,gallbladder,0.026656168198984743,0.026813057410778995,0.0001568892117942526
2,aorta,0.08264315304558047,0.11285624092702695,0.030213087881446485
2,gallbladder,0.022796274229116283,0.024921333367425892,0.002125059138309609
3,aorta,0.07365856258108874,0.07794381266380726,0.004285250082718517
3,gallbladder,0.02157676231505529,0.024857610613736023,0.0032808482986807323
4,aorta,0.06116941438354054,0.17999307517491164,0.1188236607913711
4,gallbladder,0.027006486445673092,0.027831439842130892,0.0008249533964578004
