comparison,metric,organ,mean_a,std_a,mean_b,std_b,mean_diff,ci_low,ci_high,wilcoxon_p,cohens_d,effect_size,n
Baseline vs FoB+LoRA,Dice,LIVER,0.8707892874459999,0.04758524801315367,0.9408735623857407,0.03895409933013331,-0.07008427493974062,-0.08674259642222337,-0.05423508313578398,9.313225746154785e-09,-1.5235896498475077,large,30
Baseline vs FoB+LoRA,Dice,LK,0.8590669354525348,0.15266998802854465,0.8798988674884435,0.15805124629450876,-0.020831932035908725,-0.03323966042802341,-0.007348072306662376,0.0015832837671041489,-0.5644073863800967,medium,30
Baseline vs FoB+LoRA,Dice,RK,0.8561884473567222,0.11359969211474984,0.8489785629087342,0.16606607678834312,0.0072098844479879095,-0.025973966395480975,0.04523823062235279,0.6408254038542509,0.07204559149749962,negligible,30
Baseline vs FoB+LoRA,Dice,SPLEEN,0.8434019402984515,0.16137544763333347,0.8822276159420451,0.12242881588741486,-0.038825675643593446,-0.05922318989363907,-0.020712666922958475,0.00013739429414272308,-0.7039910581982673,medium,30
Baseline vs FoB+LoRA,Dice,OVERALL,0.8573616526384271,0.12577312376573016,0.8879946521812409,0.13395671955160013,-0.030632999542813726,-0.042599855302910536,-0.017725421025375162,1.626906920832789e-09,-0.4410484239821868,small,120
FoB+LoRA vs AdaFoB+LoRA,Dice,LIVER,0.9408735623857407,0.03895409933013331,0.9417830230714491,0.03485158383209821,-0.0009094606857085815,-0.003815327221953487,0.0011293538153689861,0.7151329666376114,-0.1278123669426351,negligible,30
FoB+LoRA vs AdaFoB+LoRA,Dice,LK,0.8798988674884435,0.15805124629450876,0.8737294838212137,0.15610036304515773,0.006169383667229613,-4.840825598885381e-05,0.016232471194084594,0.140283040702343,0.2572051948234009,small,30
FoB+LoRA vs AdaFoB+LoRA,Dice,RK,0.8489785629087342,0.16606607678834312,0.8492047167695538,0.1545801952385633,-0.00022615386081942755,-0.014241213797438411,0.01311091111568091,0.6408254038542509,-0.00593452554180811,negligible,30
FoB+LoRA vs AdaFoB+LoRA,Dice,SPLEEN,0.8822276159420451,0.12242881588741486,0.8831034017612445,0.11755212966452884,-0.0008757858191994834,-0.0046576517960972815,0.0026245670092505677,0.4161298982799053,-0.0845362780730328,negligible,30
FoB+LoRA vs AdaFoB+LoRA,Dice,OVERALL,0.8879946521812409,0.13395671955160013,0.8869551563558653,0.12880177402268528,0.00103949582537553,-0.0030141517630342574,0.00540327653033103,0.38890330366000414,0.04466959791240507,negligible,120
Baseline vs AdaFoB+LoRA,Dice,LIVER,0.8707892874459999,0.04758524801315367,0.9417830230714491,0.03485158383209821,-0.07099373562544921,-0.08722063907458673,-0.05585121490743467,3.725290298461914e-09,-1.5824099821943785,large,30
Baseline vs AdaFoB+LoRA,Dice,LK,0.8590669354525348,0.15266998802854465,0.8737294838212137,0.15610036304515773,-0.014662548368679114,-0.030069542555111906,0.0027745477214657847,0.016431212425231934,-0.31678189418179836,small,30
Baseline vs AdaFoB+LoRA,Dice,RK,0.8561884473567222,0.11359969211474984,0.8492047167695538,0.1545801952385633,0.006983730587168482,-0.022891767912838243,0.03881550943007759,0.9192965272814035,0.07967562084213645,negligible,30
Baseline vs AdaFoB+LoRA,Dice,SPLEEN,0.8434019402984515,0.16137544763333347,0.8831034017612445,0.11755212966452884,-0.03970146146279293,-0.061669116818752444,-0.020218276367262665,0.00023163668811321259,-0.6668503961792577,medium,30
Baseline vs AdaFoB+LoRA,Dice,OVERALL,0.8573616526384271,0.12577312376573016,0.8869551563558653,0.12880177402268528,-0.029593503717438192,-0.0414805795904062,-0.017409059246826154,5.040761646132946e-08,-0.43633070446093813,small,120
Baseline vs FoB+LoRA,HD95,LIVER,30.07089774198721,22.790629636283253,11.757466116766295,10.53019811957747,18.31343162522091,10.909906313279814,26.387454144628993,2.6885420083999634e-05,0.8398424848248468,large,30
Baseline vs FoB+LoRA,HD95,LK,25.83853262973361,32.61857395886076,37.67578609977275,53.383682597494634,-11.837253470039137,-32.75642564351603,4.431506170981532,0.7303419969975948,-0.2249344092406137,small,30
Baseline vs FoB+LoRA,HD95,RK,32.720602491682435,35.65959751437231,40.24945192558278,47.38784595686798,-7.528849433900347,-25.264614710578982,9.354021078996722,0.8235769439488649,-0.1555040908381536,negligible,30
Baseline vs FoB+LoRA,HD95,SPLEEN,33.337022293406406,35.49058719585365,49.82906081443718,81.06681610228316,-16.492038521030775,-46.53976827927946,5.401207901966487,0.6732787363156975,-0.2181950560330202,small,30
Baseline vs FoB+LoRA,HD95,OVERALL,30.491763789202416,31.80420663102434,34.87794123913975,55.41358938600573,-4.386177449937336,-15.005799277410977,4.604157461698399,0.04012084158338272,-0.0809265272470607,negligible,120
