comparison,metric,organ,mean_a,std_a,mean_b,std_b,mean_diff,ci_low,ci_high,wilcoxon_p,cohens_d,effect_size,n
Baseline vs FoB+LoRA,HD95,LIVER,30.07089774198721,22.790629636283253,11.757466116766295,10.53019811957747,18.31343162522091,10.909906313279814,26.387454144628993,2.6885420083999634e-05,0.8398424848248468,large,30
Baseline vs FoB+LoRA,HD95,LK,25.83853262973361,32.61857395886076,37.67578609977275,53.383682597494634,-11.837253470039137,-32.75642564351603,4.431506170981532,0.7303419969975948,-0.2249344092406137,small,30
Baseline vs FoB+LoRA,HD95,RK,32.720602491682435,35.65959751437231,40.24945192558278,47.38784595686798,-7.528849433900347,-25.264614710578982,9.354021078996722,0.8235769439488649,-0.1555040908381536,negligible,30
Baseline vs FoB+LoRA,HD95,SPLEEN,33.337022293406406,35.49058719585365,49.82906081443718,81.06681610228316,-16.492038521030775,-46.53976827927946,5.401207901966487,0.6732787363156975,-0.2181950560330202,small,30
Baseline vs FoB+LoRA,HD95,OVERALL,30.491763789202416,31.80420663102434,34.87794123913975,55.41358938600573,-4.386177449937336,-15.005799277410977,4.604157461698399,0.04012084158338272,-0.0809265272470607,negligible,120
FoB+LoRA vs AdaFoB+LoRA,HD95,LIVER,11.757466116766295,10.53019811957747,12.036876294813444,10.115900772534205,-0.27941017804714335,-1.463473516628654,0.9065931721917,0.5921774964028619,-0.0826175877281985,negligible,30
FoB+LoRA vs AdaFoB+LoRA,HD95,LK,37.67578609977275,53.383682597494634,48.2682432870723,76.19146440017651,-10.592457187299544,-33.92480409247215,2.6826810443444526,0.1441846521094022,-0.1765411367079696,negligible,30
FoB+LoRA vs AdaFoB+LoRA,HD95,RK,40.24945192558278,47.38784595686798,38.73978771839928,46.90314400950435,1.5096642071835027,-2.092172672120557,5.676279685820593,0.3457539786772782,0.13451887487544423,negligible,30
FoB+LoRA vs AdaFoB+LoRA,HD95,SPLEEN,49.82906081443718,81.06681610228316,47.48554250992811,76.14961075691768,2.343518304509073,-3.3046633714278446,8.492923878962594,0.8212599673323558,0.14134242127709892,negligible,30
FoB+LoRA vs AdaFoB+LoRA,HD95,OVERALL,34.87794123913975,55.41358938600573,36.63261245255329,60.05284498827331,-1.7546712134135278,-8.36071095380563,2.5188193695390315,0.14486223994145414,-0.0553508973130543,negligible,120
Baseline vs AdaFoB+LoRA,HD95,LIVER,30.07089774198721,22.790629636283253,12.036876294813444,10.115900772534205,18.034021447173767,10.827118437064485,26.032422899150372,9.220093488693237e-06,0.8372290261999242,large,30
Baseline vs AdaFoB+LoRA,HD95,LK,25.83853262973361,32.61857395886076,48.2682432870723,76.19146440017651,-22.429710657338678,-52.8116132845573,0.838102514715958,0.8871948085725307,-0.2928104846265331,small,30
Baseline vs AdaFoB+LoRA,HD95,RK,32.720602491682435,35.65959751437231,38.73978771839928,46.90314400950435,-6.019185226716845,-24.202209575618248,11.58943371299779,0.9192965272814035,-0.1217032259514386,negligible,30
Baseline vs AdaFoB+LoRA,HD95,SPLEEN,33.337022293406406,35.49058719585365,47.48554250992811,76.14961075691768,-14.1485202165217,-42.7767173699952,4.687148664199789,0.5235489109355372,-0.20104996484039614,small,30
Baseline vs AdaFoB+LoRA,HD95,OVERALL,30.491763789202416,31.80420663102434,36.63261245255329,60.05284498827331,-6.140848663350866,-17.77303976589452,3.713625586931365,0.038601243771540526,-0.10268441622128695,negligible,120
AdaFoB+LoRA vs Fixed-Budget-Control,HD95,LIVER,12.036876294813444,10.115900772534205,11.432204265634205,10.589914739861344,0.6046720291792386,-1.1891439632875667,2.720883610484826,0.20870191067235688,0.11218173210024748,negligible,30
AdaFoB+LoRA vs Fixed-Budget-Control,HD95,LK,48.2682432870723,76.19146440017651,48.877323368419304,75.97013735980306,-0.609080081347008,-1.740184435644531,0.3177985197658162,0.2442695329700293,-0.20894625802571365,small,30
AdaFoB+LoRA vs Fixed-Budget-Control,HD95,RK,38.73978771839928,46.90314400950435,41.76380864765868,47.690785523311064,-3.0240209292594122,-9.105547641107565,1.01031294160657,0.32188434536878685,-0.19407251171448786,negligible,30
AdaFoB+LoRA vs Fixed-Budget-Control,HD95,SPLEEN,47.48554250992811,76.14961075691768,53.96382281179754,91.21135268719223,-6.478280301869438,-21.712998983114307,2.2685470319737204,0.987048648252314,-0.16627762804488228,negligible,30
AdaFoB+LoRA vs Fixed-Budget-Control,HD95,OVERALL,36.63261245255329,60.05284498827331,39.00928977337744,65.49881924787083,-2.3766773208241547,-6.776653950098516,0.4467630488935426,0.6957082200090334,-0.1125880731679736,negligible,120
