case_id,dataset,organ,area,perimeter,compactness,skeleton_length,num_branches,Np_heuristic
tmp-9191-4566520300.nii_s052_liver,AbdCT,liver,211,109.46,0.2213,77,8,17
tmp-9191-4566520300.nii_s293_spleen,AbdCT,spleen,170,79.90,0.3346,32,4,15
tmp-9191-4703875100.nii_s094_liver,AbdCT,liver,213,84.97,0.3707,46,9,15
tmp-9191-4703875100.nii_s324_spleen,AbdCT,spleen,188,65.80,0.5457,26,3,12
tmp-9191-4865166800.nii_s088_liver,AbdCT,liver,245,164.08,0.1144,83,17,18
tmp-9191-4865166800.nii_s332_spleen,AbdCT,spleen,137,54.04,0.5895,24,4,11
tmp-9191-5016695600.nii_s080_liver,AbdCT,liver,199,64.14,0.6078,22,2,11
tmp-9191-5016695600.nii_s337_spleen,AbdCT,spleen,188,60.38,0.6479,28,4,11
tmp-9191-5129890700.nii_s054_liver,AbdCT,liver,240,104.63,0.2755,48,7,16
tmp-9191-5129890700.nii_s306_spleen,AbdCT,spleen,234,71.21,0.5798,33,5,12
BraTS20_Training_001_s088_tumor,BraTS,tumor_core,2312,266.51,0.4090,157,9,17
BraTS20_Training_002_s078_tumor,BraTS,tumor_core,1581,164.57,0.7336,60,3,12
BraTS20_Training_003_s168_tumor,BraTS,tumor_core,501,97.36,0.6642,39,5,12
BraTS20_Training_004_s163_tumor,BraTS,tumor_core,2254,214.95,0.6130,97,5,14
BraTS20_Training_005_s160_tumor,BraTS,tumor_core,1191,157.98,0.5997,84,6,14
BraTS20_Training_006_s139_tumor,BraTS,tumor_core,3222,267.82,0.5645,242,14,15
BraTS20_Training_007_s160_tumor,BraTS,tumor_core,937,227.92,0.2267,136,13,18
BraTS20_Training_008_s083_tumor,BraTS,tumor_core,238,67.21,0.6620,25,5,11
BraTS20_Training_009_s085_tumor,BraTS,tumor_core,4668,350.45,0.4776,334,15,17
BraTS20_Training_010_s084_tumor,BraTS,tumor_core,823,146.57,0.4814,85,7,15
drive_21_manual1,DRIVE,vessel,5052,4661.36,0.0029,2823,444,24
drive_22_manual1,DRIVE,vessel,6065,5685.67,0.0024,3399,604,24
drive_23_manual1,DRIVE,vessel,4465,4602.96,0.0026,2276,171,24
drive_24_manual1,DRIVE,vessel,7831,6119.45,0.0026,3928,457,24
drive_25_manual1,DRIVE,vessel,6434,4995.80,0.0032,3219,422,24
