ep,organ,a_score,optimal_Np,oracle_dice,fob_10_dice,dice_0,dice_1,dice_2,dice_4,dice_6,dice_8,dice_10,dice_12,dice_16,dice_20,dice_24
0,spleen,0.6882117415191673,20,0.028980273552114837,0.026867545511613307,0.01597929163451726,0.015450891675290606,0.01577511855910755,0.016696574861512055,0.024932038834951455,0.025927870441419976,0.026867545511613307,0.026867545511613307,0.026867545511613307,0.028980273552114837,0.028980273552114837
1,rk,0.7143512123871594,0,0.8782011242973142,0.8759305210918115,0.8782011242973142,0.8760842627013631,0.875,0.875,0.8707482993197279,0.8707482993197279,0.8759305210918115,0.8759305210918115,0.8759305210918115,0.8759305210918115,0.8759305210918115
2,lk,0.7216530631821276,0,0.09887822366138545,0.07964972751409008,0.09887822366138545,0.06823351023502654,0.06823351023502654,0.06767452904859902,0.06685171429688416,0.07228610077781536,0.07964972751409008,0.07964972751409008,0.07964972751409008,0.07754047068426065,0.07754047068426065
3,liver,0.7826689476241718,4,0.4822409864629406,0.4010589382750453,0.45876765165280037,0.4448290783210731,0.4590749601275917,0.4822409864629406,0.48146661314063965,0.42991994264547734,0.4010589382750453,0.4010589382750453,0.4010589382750453,0.4010589382750453,0.4010589382750453
4,spleen,0.6356907146518044,10,0.048224786556110524,0.048224786556110524,0.04749327582446873,0.04744269358313364,0.047465672147821665,0.047518607413872524,0.0476225186481036,0.04793816954458739,0.048224786556110524,0.048224786556110524,0.048224786556110524,0.048224786556110524,0.048224786556110524
5,rk,0.6955908719077706,0,0.9315068493150684,0.04332462743893071,0.9315068493150684,0.9307065217391305,0.04398552533067133,0.051754514755542505,0.058953882175858174,0.050588404133180255,0.04332462743893071,0.04332462743893071,0.04332462743893071,0.04004657899968758,0.03725231175693527
6,lk,0.7775549698511526,8,0.06300323732049473,0.0575894381425699,0.053641471430085866,0.055143853530950304,0.05545205479452055,0.05582318979149046,0.05660799522673031,0.06300323732049473,0.0575894381425699,0.0575894381425699,0.0575894381425699,0.0575894381425699,0.0575894381425699
7,liver,0.7987998854187155,4,0.2153755868544601,0.17160642943417262,0.11522633744855967,0.11538821766413787,0.11538821766413787,0.2153755868544601,0.1485053037608486,0.16566454276227227,0.17160642943417262,0.17160642943417262,0.17160642943417262,0.17160642943417262,0.17160642943417262
8,spleen,0.7451481481362445,6,0.10579002657109313,0.0842934515017233,0.10180174823095677,0.08394625870354026,0.08394625870354026,0.10239234449760766,0.10579002657109313,0.1056073036826846,0.0842934515017233,0.0842934515017233,0.0842934515017233,0.0842934515017233,0.0842934515017233
9,rk,0.7354381218620076,0,0.04091995221027479,0.039457578303132124,0.04091995221027479,0.03982268730470169,0.03982847590667926,0.03982847590667926,0.03982847590667926,0.03975143264743574,0.039457578303132124,0.039457578303132124,0.039457578303132124,0.039457578303132124,0.039457578303132124
10,lk,0.6837905348345337,10,0.05136707751986486,0.05136707751986486,0.0,0.0,0.0,0.0,0.0,0.0,0.05136707751986486,0.05136707751986486,0.05136707751986486,0.05136707751986486,0.05136707751986486
11,liver,0.7552239637648785,6,0.12456704601682335,0.12409501216919806,0.11190754014557983,0.12129242072932037,0.12132164693834523,0.12389271653543307,0.12456704601682335,0.12453623546871136,0.12409501216919806,0.12409501216919806,0.12409501216919806,0.12409501216919806,0.12409501216919806
12,spleen,0.7520930898820652,4,0.08857567278128994,0.06546828720253293,0.0654549167772899,0.08221374290569788,0.08502735864699056,0.08857567278128994,0.08441152263374485,0.08341737970524124,0.06546828720253293,0.06546828720253293,0.06546828720253293,0.06546828720253293,0.06546828720253293
13,rk,0.7369446212066972,6,0.052744676694666925,0.052611067809820736,0.05193306405077899,0.05166640089299952,0.052029804727646456,0.052595694944969316,0.052744676694666925,0.05271206846061237,0.052611067809820736,0.052611067809820736,0.052611067809820736,0.052611067809820736,0.052611067809820736
14,lk,0.7332061976986424,8,0.045842382873099594,0.035579904277414885,0.043422357738510706,0.04013991238496281,0.04013991238496281,0.04508868968148007,0.04369201197649059,0.045842382873099594,0.035579904277414885,0.035579904277414885,0.035579904277414885,0.035579904277414885,0.035579904277414885
15,liver,0.8247718712429699,2,0.10214905634384902,0.07255381604696673,0.07245810328822005,0.07250061109753117,0.10214905634384902,0.09370655882724631,0.09381622647477464,0.10058328811720021,0.07255381604696673,0.07255381604696673,0.07255381604696673,0.07255381604696673,0.07255381604696673
16,spleen,0.7412072390986986,1,0.8165737051792828,0.1778035628967306,0.15712648531274503,0.8165737051792828,0.461347737536527,0.4417875010599508,0.48727544910179643,0.5272856130403969,0.1778035628967306,0.1778035628967306,0.1778035628967306,0.1778035628967306,0.1778035628967306
17,rk,0.7935363610452675,8,0.08134689114852475,0.0591252372682848,0.0016750418760469012,0.0016478989288656962,0.002160410477990818,0.0026301946344029457,0.08026315789473684,0.08134689114852475,0.0591252372682848,0.0591252372682848,0.0591252372682848,0.0591252372682848,0.05907036797934151
18,lk,0.7374370268588908,10,0.06504505725320144,0.06504505725320144,0.04512974802557353,0.04516371847948814,0.04536218872560601,0.0472859816766821,0.04823878197075524,0.0495023977723921,0.06504505725320144,0.06504505725320144,0.06504505725320144,0.06504505725320144,0.047151277013752456
19,liver,0.7191450285776175,6,0.5177381086882838,0.5177234853834204,0.5171246402979179,0.5173435691908216,0.5167164683993911,0.5173435691908216,0.5177381086882838,0.5175188458172167,0.5177234853834204,0.5177234853834204,0.5177234853834204,0.5177234853834204,0.5177234853834204
20,spleen,0.717633406801673,0,0.6870723802664747,0.07109624890956673,0.6870723802664747,0.6868905742145178,0.08029886284330227,0.08325175569270057,0.08164287503130478,0.06832949067281492,0.07109624890956673,0.07109624890956673,0.07109624890956673,0.06811296444614688,0.06811296444614688
21,rk,0.814645816896959,6,0.11663113006396589,0.05868154267017111,0.09678846323984783,0.09723580126211004,0.10404184498335711,0.11080725210169148,0.11663113006396589,0.05868154267017111,0.05868154267017111,0.05868154267017111,0.05868154267017111,0.11087420042643924,0.05477943017375194
22,lk,0.7466833832039432,0,0.05082426978589507,0.03537926765392124,0.05082426978589507,0.040376046081947614,0.038788827982250064,0.04242078218669712,0.040612189122711126,0.03819560467806195,0.03537926765392124,0.03537926765392124,0.03537926765392124,0.03537926765392124,0.03537926765392124
23,liver,0.8498622236382352,0,0.10293006464612543,0.09514947074560894,0.10293006464612543,0.09623529411764706,0.09623529411764706,0.09500580720092915,0.09489926137901698,0.09502052195461938,0.09514947074560894,0.09514947074560894,0.09514947074560894,0.09514947074560894,0.09514947074560894
24,spleen,0.5931993601706275,10,0.14068975725281233,0.14068975725281233,0.09801495230729569,0.10544415786116426,0.10614478349479327,0.10695397772026556,0.11714320926793197,0.12383558074392548,0.14068975725281233,0.14068975725281233,0.14068975725281233,0.14068975725281233,0.13514378132442328
25,rk,0.4357197040691972,0,0.9827705031013094,0.03595193167146688,0.9827705031013094,0.9820441988950276,0.9820441988950276,0.9784871616932685,0.9770992366412213,0.04309395553703759,0.03595193167146688,0.03595193167146688,0.03595193167146688,0.03595193167146688,0.03595193167146688
26,lk,0.7696757365601985,0,0.7713580246913581,0.05900769825776272,0.7713580246913581,0.09294499883963797,0.05917116052301101,0.05953398491211119,0.05993041786689611,0.06091254752851711,0.05900769825776272,0.05900769825776272,0.05900769825776272,0.05900769825776272,0.05900769825776272
27,liver,0.7045442616685842,4,0.44869029275808936,0.4196771714066103,0.4425980342486574,0.4461239914206925,0.4398348605377102,0.44869029275808936,0.41643626656497285,0.41851106639839036,0.4196771714066103,0.4196771714066103,0.4196771714066103,0.4196771714066103,0.385559184394033
28,spleen,0.6575151323986437,4,0.030029231995748074,0.011115482982490656,0.011089303238469086,0.011054317787179926,0.011065142353545986,0.030029231995748074,0.025990454832959576,0.02849397970119145,0.011115482982490656,0.011115482982490656,0.011115482982490656,0.011115482982490656,0.011115482982490656
29,rk,0.794896212885797,8,0.0760470242468773,0.06678855667885567,0.06556511640183708,0.06775038184595243,0.0693932282936641,0.07198330821838414,0.07498188843274571,0.0760470242468773,0.06678855667885567,0.06678855667885567,0.06678855667885567,0.06678855667885567,0.06421923474663908
