metric,organ,pair,mean_r1,mean_r2,p_value,cohens_d,n_samples
dice,SPLEEN,r2_vs_r4,0.9210652757751511,0.9202681812498121,0.00121242055921953,-0.00903087232725362,100
dice,SPLEEN,r4_vs_r8,0.9202681812498121,0.9004284017491037,0.9014752232487317,-0.185678437981833,100
dice,SPLEEN,r8_vs_r16,0.9004284017491037,0.9161938134784726,0.001087353818006839,0.13194745049754064,100
dice,SPLEEN,r2_vs_r16,0.9210652757751511,0.9161938134784726,0.2608016446659712,-0.04720570816817402,100
dice,RK,r2_vs_r4,0.8795219738572659,0.8626268960061587,4.2713991219264355e-06,-0.15277415025364713,100
dice,RK,r4_vs_r8,0.8626268960061587,0.8674315456647517,0.06529769585611349,0.043954548832212205,100
dice,RK,r8_vs_r16,0.8674315456647517,0.8891925403313035,0.08616612474842691,0.19394522202371461,100
dice,RK,r2_vs_r16,0.8795219738572659,0.8891925403313035,0.00014078321611718088,0.0852420988786514,100
dice,LK,r2_vs_r4,0.8904387958663174,0.8853236555604093,0.6180395075642904,-0.05612246265800653,100
dice,LK,r4_vs_r8,0.8853236555604093,0.898251067289155,0.006594070345450944,0.14084831903434053,100
dice,LK,r8_vs_r16,0.898251067289155,0.9015526877718234,0.03107208488620161,0.03503482998710935,100
dice,LK,r2_vs_r16,0.8904387958663174,0.9015526877718234,0.0006971706466004084,0.11871914137777888,100
dice,LIVER,r2_vs_r4,0.9434227489251465,0.9405448751873275,0.009709623765846899,-0.07807140774751495,100
dice,LIVER,r4_vs_r8,0.9405448751873275,0.9485078892350546,2.9380970689963573e-13,0.22652315680094576,100
dice,LIVER,r8_vs_r16,0.9485078892350546,0.9475973195436167,0.9069231924124693,-0.02717777574383676,100
dice,LIVER,r2_vs_r16,0.9434227489251465,0.9475973195436167,0.005014703011813641,0.11828322669949946,100
dice,ALL,r2_vs_r4,0.9086121986059701,0.9021909020009269,6.772343083453767e-07,-0.07116559795088044,400
dice,ALL,r4_vs_r8,0.9021909020009269,0.9036547259845161,2.8152219751734008e-08,0.015367994474676277,400
dice,ALL,r8_vs_r16,0.9036547259845161,0.913634090281304,0.00012295702982390496,0.10076627339943826,400
dice,ALL,r2_vs_r16,0.9086121986059701,0.913634090281304,9.361773021618419e-06,0.05330218617261568,400
hd95,SPLEEN,r2_vs_r4,71.05107717980167,25.618261940024727,0.5197640613497687,-0.38895993861746697,100
hd95,SPLEEN,r4_vs_r8,25.618261940024727,85.97816852843121,0.20496873577742858,0.4308329695443826,100
hd95,SPLEEN,r8_vs_r16,85.97816852843121,70.87029081583172,0.1536960369028742,-0.08303085356290572,100
hd95,SPLEEN,r2_vs_r16,71.05107717980167,70.87029081583172,0.1388108607081748,-0.001097731409996231,100
hd95,RK,r2_vs_r4,32.092873250081304,43.242900044191316,0.00951573451357023,0.29569331319036896,100
hd95,RK,r4_vs_r8,43.242900044191316,51.90526574174948,0.8037207832661293,0.18915442939277988,100
hd95,RK,r8_vs_r16,51.90526574174948,41.492578813126876,0.08109506395635269,-0.22488258125469365,100
hd95,RK,r2_vs_r16,32.092873250081304,41.492578813126876,0.8827031068440054,0.24527642247517173,100
hd95,LK,r2_vs_r4,39.08955793758888,80.93854692764583,0.12271676575392239,0.5657145207043587,100
hd95,LK,r4_vs_r8,80.93854692764583,40.9073068293957,0.11454699003097166,-0.5333155611404282,100
hd95,LK,r8_vs_r16,40.9073068293957,33.330803730798046,0.19571215157910715,-0.20435944062026334,100
hd95,LK,r2_vs_r16,39.08955793758888,33.330803730798046,0.4661482693296213,-0.16536721302172344,100
hd95,LIVER,r2_vs_r4,14.677817181725711,14.614005184155483,0.2676552220222953,-0.004538562815631034,100
hd95,LIVER,r4_vs_r8,14.614005184155483,14.074734520745292,0.1718800241511549,-0.03968231810315943,100
hd95,LIVER,r8_vs_r16,14.074734520745292,14.664541683762073,0.9797087224853649,0.03982857260111817,100
hd95,LIVER,r2_vs_r16,14.677817181725711,14.664541683762073,0.849185693607313,-0.0008710190172620151,100
hd95,ALL,r2_vs_r4,39.22783138729939,41.103428524004336,0.0019875863429729126,0.024906030971823322,400
hd95,ALL,r4_vs_r8,41.103428524004336,48.216368905080415,0.7922870911521762,0.0822162937822924,400
hd95,ALL,r8_vs_r16,48.216368905080415,40.08955376087968,0.014731437901163998,-0.08259644077742322,400
hd95,ALL,r2_vs_r16,39.22783138729939,40.08955376087968,0.48252605394397896,0.009715293793867643,400
